pokedexId	pokedexNumber	pokedexName	formName	formIdentifier	isMainSeries	isDefault	isBattleOnly	isMega
33	164	blueberry	bulbasaur		true	true	false	false
33	165	blueberry	ivysaur		true	true	false	false
33	166	blueberry	venusaur		true	true	false	false
33	166	blueberry	venusaur-mega	mega	true	true	true	true
33	166	blueberry	venusaur-gmax	gmax	true	true	true	false
33	167	blueberry	charmander		true	true	false	false
33	168	blueberry	charmeleon		true	true	false	false
33	169	blueberry	charizard		true	true	false	false
33	169	blueberry	charizard-mega-x	mega-x	true	true	true	true
33	169	blueberry	charizard-mega-y	mega-y	true	true	true	true
33	169	blueberry	charizard-gmax	gmax	true	true	true	false
33	170	blueberry	squirtle		true	true	false	false
33	171	blueberry	wartortle		true	true	false	false
33	172	blueberry	blastoise		true	true	false	false
33	172	blueberry	blastoise-mega	mega	true	true	true	true
33	172	blueberry	blastoise-gmax	gmax	true	true	true	false
33	155	blueberry	sandshrew		true	true	false	false
33	155	blueberry	sandshrew-alola	alola	true	true	false	false
33	156	blueberry	sandslash		true	true	false	false
33	156	blueberry	sandslash-alola	alola	true	true	false	false
33	157	blueberry	vulpix		true	true	false	false
33	157	blueberry	vulpix-alola	alola	true	true	false	false
33	158	blueberry	ninetales		true	true	false	false
33	158	blueberry	ninetales-alola	alola	true	true	false	false
33	62	blueberry	oddish		true	true	false	false
33	63	blueberry	gloom		true	true	false	false
33	64	blueberry	vileplume		true	true	false	false
33	8	blueberry	venonat		true	true	false	false
33	9	blueberry	venomoth		true	true	false	false
33	66	blueberry	diglett		true	true	false	false
33	66	blueberry	diglett-alola	alola	true	true	false	false
33	67	blueberry	dugtrio		true	true	false	false
33	67	blueberry	dugtrio-alola	alola	true	true	false	false
33	50	blueberry	tentacool		true	true	false	false
33	51	blueberry	tentacruel		true	true	false	false
33	96	blueberry	geodude		true	true	false	false
33	96	blueberry	geodude-alola	alola	true	true	false	false
33	97	blueberry	graveler		true	true	false	false
33	97	blueberry	graveler-alola	alola	true	true	false	false
33	98	blueberry	golem		true	true	false	false
33	98	blueberry	golem-alola	alola	true	true	false	false
33	75	blueberry	slowpoke		true	true	false	false
33	75	blueberry	slowpoke-galar	galar	true	true	false	false
33	76	blueberry	slowbro		true	true	false	false
33	76	blueberry	slowbro-mega	mega	true	true	true	true
33	76	blueberry	slowbro-galar	galar	true	true	false	false
33	116	blueberry	magnemite		true	true	false	false
33	117	blueberry	magneton		true	true	false	false
33	1	blueberry	doduo		true	true	false	false
33	2	blueberry	dodrio		true	true	false	false
33	143	blueberry	seel		true	true	false	false
33	144	blueberry	dewgong		true	true	false	false
33	68	blueberry	grimer		true	true	false	false
33	68	blueberry	grimer-alola	alola	true	true	false	false
33	69	blueberry	muk		true	true	false	false
33	69	blueberry	muk-alola	alola	true	true	false	false
33	3	blueberry	exeggcute		true	true	false	false
33	4	blueberry	exeggutor		true	true	false	false
33	4	blueberry	exeggutor-alola	alola	true	true	false	false
33	93	blueberry	hitmonlee		true	true	false	false
33	94	blueberry	hitmonchan		true	true	false	false
33	5	blueberry	rhyhorn		true	true	false	false
33	6	blueberry	rhydon		true	true	false	false
33	17	blueberry	chansey		true	true	false	false
33	52	blueberry	horsea		true	true	false	false
33	53	blueberry	seadra		true	true	false	false
33	19	blueberry	scyther		true	true	false	false
33	11	blueberry	electabuzz		true	true	false	false
33	14	blueberry	magmar		true	true	false	false
33	22	blueberry	tauros		true	true	false	false
33	22	blueberry	tauros-paldea-combat-breed	paldea-combat-breed	true	false	false	false
33	22	blueberry	tauros-paldea-blaze-breed	paldea-blaze-breed	true	false	false	false
33	22	blueberry	tauros-paldea-aqua-breed	paldea-aqua-breed	true	false	false	false
33	145	blueberry	lapras		true	true	false	false
33	145	blueberry	lapras-gmax	gmax	true	true	true	false
33	129	blueberry	porygon		true	true	false	false
33	173	blueberry	chikorita		true	true	false	false
33	174	blueberry	bayleef		true	true	false	false
33	175	blueberry	meganium		true	true	false	false
33	176	blueberry	cyndaquil		true	true	false	false
33	177	blueberry	quilava		true	true	false	false
33	178	blueberry	typhlosion		true	true	false	false
33	178	blueberry	typhlosion-hisui	hisui	true	true	false	false
33	179	blueberry	totodile		true	true	false	false
33	180	blueberry	croconaw		true	true	false	false
33	181	blueberry	feraligatr		true	true	false	false
33	78	blueberry	chinchou		true	true	false	false
33	79	blueberry	lanturn		true	true	false	false
33	65	blueberry	bellossom		true	true	false	false
33	77	blueberry	slowking		true	true	false	false
33	77	blueberry	slowking-galar	galar	true	true	false	false
33	25	blueberry	girafarig		true	true	false	false
33	151	blueberry	snubbull		true	true	false	false
33	152	blueberry	granbull		true	true	false	false
33	146	blueberry	qwilfish		true	true	false	false
33	146	blueberry	qwilfish-hisui	hisui	true	true	false	false
33	20	blueberry	scizor		true	true	false	false
33	20	blueberry	scizor-mega	mega	true	true	true	true
33	113	blueberry	skarmory		true	true	false	false
33	54	blueberry	kingdra		true	true	false	false
33	130	blueberry	porygon2		true	true	false	false
33	40	blueberry	smeargle		true	true	false	false
33	92	blueberry	tyrogue		true	true	false	false
33	95	blueberry	hitmontop		true	true	false	false
33	10	blueberry	elekid		true	true	false	false
33	13	blueberry	magby		true	true	false	false
33	18	blueberry	blissey		true	true	false	false
33	182	blueberry	treecko		true	true	false	false
33	183	blueberry	grovyle		true	true	false	false
33	184	blueberry	sceptile		true	true	false	false
33	184	blueberry	sceptile-mega	mega	true	true	true	true
33	185	blueberry	torchic		true	true	false	false
33	186	blueberry	combusken		true	true	false	false
33	187	blueberry	blaziken		true	true	false	false
33	187	blueberry	blaziken-mega	mega	true	true	true	true
33	188	blueberry	mudkip		true	true	false	false
33	189	blueberry	marshtomp		true	true	false	false
33	190	blueberry	swampert		true	true	false	false
33	190	blueberry	swampert-mega	mega	true	true	true	true
33	59	blueberry	slakoth		true	true	false	false
33	60	blueberry	vigoroth		true	true	false	false
33	61	blueberry	slaking		true	true	false	false
33	119	blueberry	plusle		true	true	false	false
33	120	blueberry	minun		true	true	false	false
33	125	blueberry	numel		true	true	false	false
33	126	blueberry	camerupt		true	true	false	false
33	126	blueberry	camerupt-mega	mega	true	true	true	true
33	86	blueberry	torkoal		true	true	false	false
33	44	blueberry	trapinch		true	true	false	false
33	45	blueberry	vibrava		true	true	false	false
33	46	blueberry	flygon		true	true	false	false
33	114	blueberry	swablu		true	true	false	false
33	115	blueberry	altaria		true	true	false	false
33	115	blueberry	altaria-mega	mega	true	true	true	true
33	70	blueberry	zangoose		true	true	false	false
33	71	blueberry	seviper		true	true	false	false
33	82	blueberry	luvdisc		true	true	false	false
33	137	blueberry	beldum		true	true	false	false
33	138	blueberry	metang		true	true	false	false
33	139	blueberry	metagross		true	true	false	false
33	139	blueberry	metagross-mega	mega	true	true	true	true
33	191	blueberry	turtwig		true	true	false	false
33	192	blueberry	grotle		true	true	false	false
33	193	blueberry	torterra		true	true	false	false
33	194	blueberry	chimchar		true	true	false	false
33	195	blueberry	monferno		true	true	false	false
33	196	blueberry	infernape		true	true	false	false
33	197	blueberry	piplup		true	true	false	false
33	198	blueberry	prinplup		true	true	false	false
33	199	blueberry	empoleon		true	true	false	false
33	107	blueberry	cranidos		true	true	false	false
33	108	blueberry	rampardos		true	true	false	false
33	109	blueberry	shieldon		true	true	false	false
33	110	blueberry	bastiodon		true	true	false	false
33	16	blueberry	happiny		true	true	false	false
33	83	blueberry	finneon		true	true	false	false
33	84	blueberry	lumineon		true	true	false	false
33	159	blueberry	snover		true	true	false	false
33	160	blueberry	abomasnow		true	true	false	false
33	160	blueberry	abomasnow-mega	mega	true	true	true	true
33	118	blueberry	magnezone		true	true	false	false
33	7	blueberry	rhyperior		true	true	false	false
33	12	blueberry	electivire		true	true	false	false
33	15	blueberry	magmortar		true	true	false	false
33	131	blueberry	porygon-z		true	true	false	false
33	41	blueberry	rotom		true	true	false	false
33	41	blueberry	rotom-heat	heat	true	true	false	false
33	41	blueberry	rotom-wash	wash	true	true	false	false
33	41	blueberry	rotom-frost	frost	true	true	false	false
33	41	blueberry	rotom-fan	fan	true	true	false	false
33	41	blueberry	rotom-mow	mow	true	true	false	false
33	200	blueberry	snivy		true	true	false	false
33	201	blueberry	servine		true	true	false	false
33	202	blueberry	serperior		true	true	false	false
33	203	blueberry	tepig		true	true	false	false
33	204	blueberry	pignite		true	true	false	false
33	205	blueberry	emboar		true	true	false	false
33	206	blueberry	oshawott		true	true	false	false
33	207	blueberry	dewott		true	true	false	false
33	208	blueberry	samurott		true	true	false	false
33	208	blueberry	samurott-hisui	hisui	true	true	false	false
33	23	blueberry	blitzle		true	true	false	false
33	24	blueberry	zebstrika		true	true	false	false
33	99	blueberry	drilbur		true	true	false	false
33	100	blueberry	excadrill		true	true	false	false
33	56	blueberry	cottonee		true	true	false	false
33	57	blueberry	whimsicott		true	true	false	false
33	27	blueberry	sandile		true	true	false	false
33	28	blueberry	krokorok		true	true	false	false
33	29	blueberry	krookodile		true	true	false	false
33	121	blueberry	scraggy		true	true	false	false
33	122	blueberry	scrafty		true	true	false	false
